Product Name,Slug,Brand Name,SKU,HSN Code,Product Title,Subtitle / Tagline,Product Category,Product Sub-Category,Product Type,Skin/Hair Type,Net Quantity (Content),Unit Count (Pack of),Package Content Details,Inner Packaging Type,Outer Packaging Type,Net Weight (Product Only),Dead Weight (Packaging Only),discount,MRP,WEBSITE price,GST %,Country of Origin,Manufacturer / Packer / Importer,Key Ingredients,Ingredient Benefits,How to Use (Steps),Product Description (Long),Bullet Highlights (Short Desc.),Image Links,Video Links,Platform Category Mapping,Hazardous / Fragile (Y/N),Special Attributes (Badges)
" Nefol Deep Clean Cobmo                                                            Facecleanser,Furbish scrub ,face mask    ",nefol-deep-clean-combo,NEFOL,N24690,3304,"Nefol  Deep Clean Combo: Face cleanser, Scrub & Mask Skincare Kit (100ml + 50gm + 50gm)",3-step skincare kit for deep cleansing & fresh glow, combo packs,Skincare Set,Skincare Set,"All Skin Types (acne-prone, dry, oily, combination, normal)",100 ml + 50 g + 50 g,1,Face Cleanser + Furbish Scrub + Face Mask,Pump Bottle (Plastic) + Plastic Jar + Plastic Jar,Carton Box,30 ML + 100 GM,310 GM,30%,1865.00,1305.50,18,INDIA,M/S COSMETIFY,"Face Cleanser, Furbish Scrub, Revitalizing Face Mask","Cleansing, exfoliation, detox, brightening",Step 1: Cleanser ? Step 2: Scrub ? Step 3: Mask,"Complete 3-step skincare for deep cleansing, exfoliation, and pore purification. Removes impurities & oil, leaving skin fresh, smooth, and radiant.",? Natural Care ? For All Types ? Glow & Hydration,,,,No,Vegan | Cruelty-Free | Natural
Anytime cream,nefol-anytime-cream,NEFOL,N24685,3304,Nefol  Any Time Cream,Tinted daily cream with SPF for instant glow & protection, Face care,Face Cream,Face Care,"All Skin Types (dry, oily, combination, normal)",50 gm,1,Anytime Cream Jar,Plastic Jar,Carton Box / Polybag,50 GM,80 GM,30%,646.00,452.20,18,INDIA,M/S COSMETIFY,"Aprajita (Blue Tea), Yellow Dragon Fruit, Saffron, Kale Leaf","Aprajita (Blue Tea): antioxidant, anti-aging; Yellow Dragon Fruit: brightens & revitalizes; Saffron: improves complexion; Kale Leaf: nourishes & detoxifies",Apply evenly on cleansed face. Massage gently until absorbed. Can be used day or night.,"Lightweight cream for daily use that brightens skin, reduces fine lines, and provides a natural glow.",? Natural Care ? For All Types ? Glow & Hydration,,https://youtu.be/_BS5xWBJhmw?si=gbMEVKcr2k624yPD,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
Face Serum,nefol-face-serum,NEFOL,N24687,3304,Nefol Face Serum ,"Hydrating serum with tea extracts for youthful, radiant skin", Face care,Face Serum,Face Care,"All Skin Types (dry, oily, combination, normal)",30 ml,1,Face Serum Bottle,Short Pump Bottle,Carton Box / Polybag,30 ML,80 GM,30%,889.00,622.30,18,INDIA,M/S COSMETIFY,"Aprajita (Blue Tea), Green Tea, White Tea, Brahmi",Aprajita (Blue Tea): antioxidant; Green Tea: reduces fine lines; White Tea: protects & revitalizes; Brahmi: improves elasticity,Apply 3-4 drops on cleansed face. Massage gently until absorbed. Use morning & night.,"Concentrated serum providing hydration, reducing fine lines, and improving elasticity for healthy, youthful skin.",? Natural Care ? For All Types ? Glow & Hydration,,https://youtu.be/rvv4pxpQdzk?si=w6nvzPk7TVL_QqYZ,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
Furbish Scrub,nefol-furbish-scrub,NEFOL,N24684,3304,Nefol Furbish Scrub,Exfoliating scrub that removes dead skin & boosts radiance, Face care,Face Scrub,Face Care,"All Skin Types (dry, oily, combination, normal)",50 gm,1,Face Scrub Tube,Glass Jar,Carton Box / Polybag,50 GM,155 GM,30%,699.00,489.30,18,INDIA,M/S COSMETIFY,"Aprajita (Blue Tea), Papaya Extract, Rice Powder, Tapioca Starch","Aprajita (Blue Tea): antioxidant, soothes; Papaya Extract: exfoliates; Rice Powder: gentle cleansing; Tapioca Starch: softens skin","Apply on damp face. Massage in circular motions 1-2 mins, rinse. Use 2-3 times a week.",Gentle exfoliating scrub that removes dead skin cells and dirt while enhancing skin texture and radiance.,? Natural Care ? For All Types ? Glow & Hydration,,https://youtu.be/_zGGxHHZ3d8?si=iqw0MM2zrzRPZMhL,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
Hair Lather Shampoo,nefol-hair-lather-shampoo,NEFOL,N24680,3305,Nefol  Shampoo ,Nourishing shampoo that controls hair fall & boosts shine, Hair Care,Shampoo,Hair Care,"All Hair Types (straight, wavy, curly, coily)",300 ml,1,Hair Lather Shampoo Bottle,Plastic Bottle,Carton Box / Polybag,300 ML,340 GM,30%,789.00,552.30,5,INDIA,M/S COSMETIFY,"Aprajita (Blue Tea), Tea Tree, Biotin, Saw Palmetto",Aprajita (Blue Tea): antioxidant; Tea Tree: purifies scalp; Biotin: promotes growth; Saw Palmetto: reduces hair loss,Apply on wet hair. Massage scalp & lather. Rinse thoroughly. Use regularly.,"Gentle lather shampoo reducing hair fall, nourishing follicles, and maintaining a healthy scalp.",? Natural Care ? For All Types ? Glow & Hydration,,https://youtu.be/K54920_mP7s?si=YEiLxBAFVsD8Gyq9,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Hair Mask,nefol-hair-mask,NEFOL,N24689,3305,Nefol Hair Mask,Deep conditioning mask that repairs damage & restores strength, Hair Care,Hair Mask,Hair Care,"All Hair Types (straight, wavy, curly, coily)",300 gm,1,Hair Mask Jar,Plastic Bottle,Carton Box / Polybag,300 ML,325 GM,30%,789.00,552.30,18,INDIA,M/S COSMETIFY,"Aprajita (Blue Tea), Shea Butter, Quinoa, Olive Squalane",Aprajita (Blue Tea): strengthens hair; Shea Butter: deep conditioning; Quinoa: restores shine; Olive Squalane: softens & nourishes,"Apply on washed hair. Leave 5-10 mins, rinse. Use once a week.","Deeply nourishing hair mask that restores shine, strengthens, and repairs hair for silky, soft strands.",? Natural Care ? For All Types ? Glow & Hydration,,https://youtu.be/V4wfpZFBIgA?si=VblEsWdx4Vyay3i_,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Hair Oil,nefol-hair-oil,NEFOL,N24688,3305,Nefol Hair Oil ,Ayurvedic hair oil blend that strengthens roots & reduces fall, Hair Care,Hair Oil,Hair Care,"All Hair Types (straight, wavy, curly, coily)",200 ml,1,Hair Oil Bottle,Plastic Oil Bottle,Carton Box / Polybag,200 ML ,210 GM,30%,789.00,552.30,5,INDIA,M/S COSMETIFY,"Sesame, Amla, Flaxseed, Coconut, Mustard, Argan Oils",Sesame: strengthens roots; Amla: reduces hair fall; Flaxseed: nourishes; Coconut: adds shine; Mustard: stimulates scalp; Argan Oil: restores elasticity,Massage 10-15 ml into scalp & hair. Leave 30 mins or overnight. Wash with shampoo. Use 2-3 times/week.,"Multi-nutrient hair oil that nourishes roots, strengthens hair, reduces hair fall, and promotes growth.",? Natural Care ? For All Types ? Glow & Hydration,,https://youtu.be/DD33sCvDphU?si=Jb_UM8E4vRQNk6tO,Beauty > Hair Care,No,Vegan | Cruelty-Free | Natural
Hydrating moisturizer,nefol-hydrating-moisturizer,NEFOL,N24682,3304,Nefol  Hydrating Moisturizer,"Lightweight hydration cream for soft, nourished, healthy skin", body Care,Moisturizer,Face Care,"All Skin Types (dry, oily, combination, normal)",100 g,1,Hydrating Moisturizer Jar,Glass Jar,Carton Box / Polybag,100 GM,287 GM,30%,798.00,558.60,18,INDIA,M/S COSMETIFY,"Aprajita (Blue Tea), Blueberry, Juniper Berry","Aprajita (Blue Tea): antioxidant, anti-aging; Blueberry: hydrates & nourishes; Juniper Berry: soothes & balances",Apply evenly on face and neck after cleansing. Massage gently until absorbed. Use morning and night.,"Lightweight, non-greasy moisturizer for deep hydration and anti-aging benefits. Leaves skin smooth, supple, and radiant.",? Natural Care ? For All Types ? Glow & Hydration,,https://youtu.be/9yCDWBsKgss?si=yrkdAXPPRUHeM98M,Beauty > Skin Care,No,Vegan | Cruelty-Free | Natural
"Nefol Acne Control Duo                                                                       Face cleanser, Wine lotion",nefol-acne-control-duo,NEFOL,N24695,3304,Nefol Aprajita Acne Control Duo: Face Cleanser & Wine Lotion Kit  (100ml + 50gm),"Skincare duo for clear, oil-free & acne-free skin", combo packs,Skincare Set,Skincare Set,"All Skin Types (acne-prone, oily, combination, normal)",100 ml + 50 g,1,Face Cleanser + Wine Lotion,Pump Bottle (Plastic) + Glass Jar,Carton Box,100 ML + 50 GM,290 GM,30%,1228.00,859.60,18,INDIA,M/S COSMETIFY,"Face Cleanser, Wine Lotion","Cleansing, oil control, anti-acne, soothing",Step 1: Cleanser ? Step 2: Lotion,"Targeted acne care set for oily/acne-prone skin. Cleanser removes impurities, Wine Lotion calms inflammation and reduces redness for clear, healthy skin.",? Natural Care ? For All Types ? Glow & Hydration,,,,No,Vegan | Cruelty-Free | Natural
Nefol Facewash/Cleanser,nefol-face-cleanser,NEFOL,N24681,3304,Nefol  Face Cleanser ,"Gentle daily cleanser with Blue Tea for clear, glowing skin", Face care,Face Wash,Face Care,"All Skin Types (dry, oily, combination, normal)",100 ml,1,Face Cleanser Bottle,Pump Bottle (Plastic),Carton Box / Polybag,100 ML,132 GM,30%,579.00,405.30,18,INDIA,M/S COSMETIFY,"Aprajita (Blue Tea), Kakadu Plum, Yuja, Vitamin C & B5","Aprajita (Blue Tea): antioxidant, anti-aging, soothing; Kakadu Plum: brightens & protects skin; Yuja: revitalizes & tones; Vitamin B5: hydrates, softens","Apply a small amount on wet face, massage gently for 1-2 minutes, rinse thoroughly. Use daily morning & night.",Gentle daily cleanser that removes impurities and oil while brightening and rejuvenating skin. Perfect for all skin types.,? Natural Care ? For All Types ? Glow & Hydration,,https://youtu.be/c6Soy2BMrX8?si=vOwCrdhkcuOfNm0P,Beauty > Skin Care,No,
